subject,question,passage,choice1,choice2,choice3,choice4,answer,explanation,level,option1,option2,option3,option4,option5
수학,"원의 넓이를 구하는 공식은?","없음","반지름 x 반지름 x 파이","지름 x 파이","반지름 x 2 x 파이","반지름 x 지름",0,"원의 넓이는 반지름 x 반지름 x 원주율(파이)입니다.",3,기하학,,,,
수학,"다음 중 소수가 아닌 것은?","없음","2","7","13","9",3,"9는 3 x 3으로 나누어지므로 소수가 아닙니다.",1,수와연산,소수,,
수학,"원의 둘레를 구하는 공식은?","없음","반지름 x 파이","지름 x 파이","반지름 x 2 x 파이","지름 x 2",1,"원의 둘레는 지름에 원주율(파이)을 곱해서 구합니다.",2,기하학,,,,
수학,"정사각형의 넓이를 구하는 공식은?","없음","가로 x 세로","한 변의 길이 x 한 변의 길이","밑변 x 높이","가로 x 높이",1,"정사각형의 넓이는 한 변의 길이 x 한 변의 길이입니다.",1,기하학,,,,
수학,"다음 중 짝수가 아닌 것은?","없음","10","12","15","20",2,"15는 2로 나누어 떨어지지 않으므로 홀수입니다.",1,수와연산,,,,
수학,"150을 10으로 나눈 몫은?","없음","1500","15","1.5","150",1,"150을 10으로 나누면 15가 됩니다.",1,수와연산,나눗셈,,
수학,"직각삼각형의 가장 긴 변의 이름은?","없음","높이","밑변","빗변","변",2,"직각삼각형의 가장 긴 변은 빗변입니다.",2,기하학,,,,
수학,"4 + 5 x 2의 값은?","없음","18","14","13","9",1,"곱셈을 먼저 계산하므로 4 + 10 = 14입니다.",2,수와연산,사칙연산,,
수학,"1부터 100까지 홀수의 개수는?","없음","49개","50개","51개","52개",1,"1부터 100까지 홀수는 50개입니다.",2,수와연산,,,,
수학,"피타고라스의 정리는 어떤 삼각형에 적용되는가?","없음","이등변삼각형","직각삼각형","정삼각형","둔각삼각형",1,"피타고라스의 정리는 직각삼각형에서만 성립합니다.",3,기하학,피타고라스,,
수학,"1km는 몇 m인가?","없음","10m","100m","1000m","10000m",2,"1km는 1000m입니다.",1,단위,,,,
수학,"삼각형 내각의 합은 몇 도인가?","없음","90도","180도","270도","360도",1,"삼각형 내각의 합은 항상 180도입니다.",2,기하학,,,,
수학,"15의 약수는?","없음","1, 3, 5, 15","1, 5, 15","1, 3, 5","3, 5",0,"15의 약수는 1, 3, 5, 15입니다.",2,수와연산,약수,,
수학,"다음 중 무리수인 것은?","없음","2","루트 2","0.5","3",1,"루트 2는 무리수입니다.",3,수와연산,,,,
수학,"x + 5 = 10일 때, x의 값은?","없음","3","4","5","6",2,"x는 5입니다.",1,방정식,,,,
수학,"1m는 몇 cm인가?","없음","10cm","100cm","1000cm","1cm",1,"1m는 100cm입니다.",1,단위,,,,
수학,"정육면체의 꼭짓점 개수는?","없음","4개","6개","8개","12개",2,"정육면체의 꼭짓점은 8개입니다.",2,입체도형,기하학,,
수학,"원의 원주율을 나타내는 기호는?","없음","알파","베타","파이","델타",2,"원의 원주율은 파이로 나타냅니다.",2,기하학,상식,,
수학,"4개 중 2개를 선택하는 경우의 수는?","없음","4가지","6가지","8가지","12가지",1,"4개 중 2개를 선택하는 경우의 수는 6가지입니다.",3,확률,,,,
수학,"2 x 2 x 2 x 2 x 2를 거듭제곱으로 나타내면?","없음","2의 4제곱","2의 5제곱","5의 2제곱","2 x 5",1,"2가 5번 곱해졌으므로 2의 5제곱입니다.",2,수와연산,,,,
수학,"y = 2x + 1에서 x가 2일 때 y의 값은?","없음","3","4","5","6",2,"x가 2일 때 y는 5입니다.",3,함수,,,,
수학,"가장 작은 소수는?","없음","0","1","2","3",2,"가장 작은 소수는 2입니다.",2,수와연산,소수,,
수학,"삼각형의 넓이를 구하는 공식은?","없음","밑변 x 높이","가로 x 세로","밑변 x 높이 / 2","가로 x 세로 / 2",2,"삼각형의 넓이는 (밑변 x 높이) / 2입니다.",1,기하학,,,,
수학,"9의 제곱근은?","없음","3","-3","3과 -3","9",2,"9의 제곱근은 3과 -3입니다.",3,수와연산,제곱근,,
수학,"20을 3으로 나눈 나머지는?","없음","1","2","3","4",1,"20을 3으로 나누면 몫은 6이고 나머지는 2입니다.",2,수와연산,나눗셈,,
수학,"평행사변형의 성질이 아닌 것은?","없음","두 쌍의 대변이 평행하다","두 쌍의 대각의 크기가 같다","두 대각선이 서로를 이등분한다","네 변의 길이가 같다",3,"네 변의 길이가 같은 것은 마름모의 성질입니다.",3,기하학,,,,
수학,"12와 18의 최대공약수는?","없음","3","6","9","12",1,"12와 18의 최대공약수는 6입니다.",2,수와연산,약수,,
수학,"150%를 소수로 나타내면?","없음","0.15","1.5","15","150",1,"150%는 1.5입니다.",2,수와연산,백분율,,
수학,"3의 세제곱은?","없음","6","9","27","81",2,"3 x 3 x 3 = 27입니다.",1,수와연산,,,,
수학,"직사각형의 둘레를 구하는 공식은?","없음","가로 + 세로","가로 x 세로","(가로 + 세로) x 2","가로 x 세로 x 2",2,"직사각형의 둘레는 (가로 + 세로) x 2입니다.",1,기하학,,,,
