subject,question,passage,choice1,choice2,choice3,choice4,answer,explanation,level,option1,option2,option3,option4,option5
국어,"다음 중 '않'과 '안'의 올바른 쓰임은?","없음","안 되다","않 되다","안되다","않되다",0,"'안'은 동사, 형용사 앞에 오는 부사로 사용됩니다.",1,맞춤법,,,,
국어,"다음 중 맞춤법이 올바른 것은?","없음","어의없다","어이없다","어의가없다","어이 없다",1,"'어이없다'가 올바른 맞춤법입니다.",1,맞춤법,,,,
국어,"'소나기'의 표준 발음은?","없음","[소나기]","[소나끼]","[소나귀]","[소나게]",1,"'소나기'는 [소나끼]로 발음합니다.",2,발음,,,,
국어,"다음 중 띄어쓰기가 올바른 문장은?","없음","그는 잘 생겼다.","그는잘 생겼다.","그는잘생겼다.","그는 잘생겼다.",3,"'잘생겼다'는 한 단어이므로 붙여 씁니다.",1,띄어쓰기,,,,
국어,"다음 중 한자어가 아닌 것은?","없음","학교","사랑","자동차","컴퓨터",3,"'컴퓨터'는 외래어입니다.",2,어휘,,,,
국어,"다음 중 속담이 아닌 것은?","없음","가는 말이 고와야 오는 말이 곱다","호랑이도 제 말 하면 온다","눈에 넣어도 아프지 않다","백문이 불여일견",2,"'눈에 넣어도 아프지 않다'는 관용구입니다.",2,속담,관용구,,
국어,"'보다'의 의미가 다른 것은?","없음","영화를 보다","시험을 보다","친구를 보다","키가 크다보다",3,"'보다'는 비교의 의미로 쓰였습니다.",3,문법,,,,
국어,"다음 중 문법적으로 틀린 문장은?","없음","나는 밥을 먹었다","그는 학교에 갔다","그는 나를 좋아한다","나는 그를 좋아한다는",3,"'좋아한다는'은 문장이 끝나지 않았습니다.",3,문법,,,,
국어,"다음 중 '하다'가 동사로 쓰인 것은?","없음","운동하다","예쁘다","좋다","크다",0,"'운동하다'는 동사입니다.",1,품사,,,,
국어,"다음 중 주어가 생략된 문장은?","없음","나는 밥을 먹었다","밥을 먹었다","그는 밥을 먹었다","밥을 먹자",1,"주어 '나는'이 생략되었습니다.",2,문장성분,,,,
국어,"다음 중 인용 표현이 아닌 것은?","없음","그는 말했다, '안녕'","'안녕'이라고 말했다","그는 안녕이라 말했다","그는 안녕했다",3,"'안녕했다'는 인용이 아닙니다.",2,문법,,,,
국어,"다음 중 문장 부호 사용이 올바른 것은?","없음","그는 말했다. '안녕.'","그는 말했다 '안녕.'","그는 말했다, '안녕.'","그는 말했다 - '안녕.'",0,"인용문 앞에는 마침표와 작은따옴표가 필요합니다.",3,문장부호,,,,
국어,"다음 중 겹받침 발음이 올바른 것은?","없음","닭이 [달기]","넋이 [넉시]","앉아 [안자]","읽고 [일꼬]",3,"'읽고'는 [일꼬]로 발음됩니다.",2,발음,,,,
국어,"다음 중 '짓다'의 의미가 다른 것은?","없음","밥을 짓다","농사를 짓다","이름을 짓다","옷을 짓다",1,"'농사를 짓다'는 '농경'의 의미입니다.",3,어휘,,,,
국어,"다음 중 '적다'의 반대말은?","없음","많다","높다","깊다","작다",0,"'많다'는 '적다'의 반대말입니다.",1,어휘,,,,
국어,"다음 중 '얼굴'의 원래 뜻은?","없음","얼굴","얼의 굴","얼굴의 굴","얼굴의 굴곡",1,"'얼굴'은 '얼'의 '굴'이라는 의미로 '얼'은 영혼을 뜻합니다.",3,어원,,,,
국어,"다음 중 순우리말은?","없음","가족","친구","아름","사랑",2,"'아름'은 순우리말로 '팔로 껴안은 둘레'를 뜻합니다.",2,순우리말,,,,
국어,"다음 중 올바른 맞춤법은?","없음","왠만하면","웬만하면","왠만하다","웬만하다",1,"'웬만하면'이 올바른 표현입니다.",1,맞춤법,,,,
국어,"다음 중 '바라다'의 올바른 활용형은?","없음","바래","바라","바랬어","바라다",1,"'바라다'의 활용형은 '바라'입니다.",2,문법,활용,,
국어,"다음 중 높임 표현이 아닌 것은?","없음","진지","연세","말씀","밥",3,"'밥'은 일반 표현입니다. 높임말은 '진지'입니다.",1,어휘,,,,
국어,"다음 중 접속 부사가 아닌 것은?","없음","그러나","그리고","그래서","그는",3,"'그는'은 명사입니다.",1,품사,,,,
국어,"다음 중 관용구가 아닌 것은?","없음","손에 땀을 쥐다","입이 짧다","귀가 얇다","바람이 분다",3,"'바람이 분다'는 일반 표현입니다.",2,관용구,,,,
국어,"다음 중 문장의 종류가 감탄문인 것은?","없음","나는 밥을 먹었다","밥을 먹자","밥을 먹었구나","밥을 먹을까?",2,"'먹었구나'는 감탄문입니다.",2,문법,,,,
국어,"다음 중 어미가 활용된 것은?","없음","먹다","먹는다","먹음","먹기",1,"'먹는다'는 어미 활용입니다.",3,문법,활용,,
국어,"다음 중 조사가 아닌 것은?","없음","이","가","은","먹다",3,"'먹다'는 동사입니다.",1,품사,,,,
국어,"다음 중 품사가 다른 것은?","없음","예쁘다","달리다","먹다","그리고",3,"'그리고'는 접속 부사입니다.",2,품사,,,,
국어,"다음 중 '보다'의 의미가 다른 것은?","없음","영화를 보다","시험을 보다","친구를 보다","키가 크다보다",3,"'보다'는 비교의 의미로 쓰였습니다.",3,문법,,,,
국어,"다음 중 올바른 발음은?","없음","값이 [갑씨]","값이 [값이]","값이 [갑이]","값이 [감씨]",0,"'값이'는 [갑씨]로 발음합니다.",2,발음,,,,
국어,"다음 중 문장의 종류가 아닌 것은?","없음","평서문","의문문","감탄문","형용문",3,"'형용문'은 문장 종류가 아닙니다.",1,문법,,,,
국어,"다음 중 어휘의 의미 관계가 반의어인 것은?","없음","크다-작다","예쁘다-귀엽다","밝다-환하다","먹다-삼키다",0,"'크다-작다'는 반의어입니다.",2,어휘,,,,
